17:38:10 | pi | 01/02/2017 21:30,0.911,1.77,4.51,5.632,56,24.5
17:38:10 | pi | 01/02/2017 22:00,0.899,1.78,4.52,6.001,54,24.45
17:38:11 | pi | 01/02/2017 22:30,0.898,1.31,4.656,5.225,60,24.45
17:38:11 | pi | 01/02/2017 23:00,0.878,1.48,4.682,5.068,63,24.5
17:38:12 | pi | 01/02/2017 23:30,0.85,1.67,4.653,5.957,71,24.5
17:38:12 | pi | 01/03/2017 00:00,0.85,1.43,4.868,5.985,63,24.55
17:38:13 | pi | 01/03/2017 00:30,0.906,1.49,4.939,6.16,64,24.5
17:38:14 | pi | 01/03/2017 01:00,0.911,1.59,4.701,6.161,52,24.55
17:38:14 | pi | 01/03/2017 01:30,0.865,1.77,4.285,6.27,54,24.5
17:57:04 | l | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
17:57:04 | l | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9
17:57:05 | l | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65
17:57:05 | l | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5
17:57:06 | l | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
17:57:06 | l | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45
17:57:07 | l | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5
17:57:07 | l | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5
17:57:08 | l | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5
17:57:08 | l | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
17:57:09 | l | 01/01/2017 05:00,0.698,1.11,4.867,4.584,64,25.55
17:57:09 | l | 01/01/2017 05:30,0.686,1.14,4.755,5.211,56,25.55
17:57:10 | l | 01/01/2017 06:00,0.721,1.12,4.843,5.813,67,25.5
17:57:10 | l | 01/01/2017 06:30,0.679,1.22,4.948,4.71,81,25.45
17:57:11 | l | 01/01/2017 07:00,0.66,1.08,5.068,5.353,90,25.45
17:57:11 | l | 01/01/2017 07:30,0.662,1.18,5.263,7.436,67,25.4
17:57:12 | l | 01/01/2017 08:00,0.653,1.21,5.007,6.001,90,25.45
17:57:12 | l | 01/01/2017 08:30,0.665,1.17,4.952,6.414,90,25.55
17:57:13 | l | 01/01/2017 09:00,0.684,1.55,5.022,6.691,88,25.6
17:57:13 | l | 01/01/2017 09:30,0.679,1.09,4.926,6.804,88,25.65
17:58:30 | l | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
17:58:30 | l | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9
17:58:31 | l | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65
17:58:31 | l | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5
17:58:32 | l | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
17:58:32 | l | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45
17:58:33 | l | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5
17:58:33 | l | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5
17:58:34 | l | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5
17:58:34 | l | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
